Field Name,Data Type,Description,Category,Required,Default Value,Notes
id,UUID,Primary Key,Basic,Yes,gen_random_uuid(),Auto-generated
first_name,VARCHAR(100),User's first name,Profile,No,,From dashboard settings
last_name,VARCHAR(100),User's last name,Profile,No,,From dashboard settings
email,VARCHAR(255),User's email address,Profile,Yes,,Unique identifier
phone,VARCHAR(20),User's phone number,Profile,No,,From dashboard settings
country,VARCHAR(100),User's country,Profile,No,United States,From dashboard settings
language,VARCHAR(50),User's preferred language,Profile,No,English,From dashboard settings
bio,TEXT,User's biography,Profile,No,,From dashboard settings
status,VARCHAR(20),User account status,Status,No,PENDING,PENDING/PROCESSING/COMPLETED/REJECTED/ACTIVE
membership_tier,VARCHAR(20),User's membership level,Status,No,,free/premium/kickstarter
account_type,VARCHAR(20),Account type,Status,No,,personal/business
setup_complete,BOOLEAN,Whether setup is complete,Status,No,false,From user context
is_temporary,BOOLEAN,Whether account is temporary,Status,No,false,From user context
unique_id,VARCHAR(100),Unique identifier,Status,No,,From user context
token,TEXT,Authentication token,Status,No,,From user context
selected_plan,JSONB,Selected membership plan,Status,No,,JSON object
trades_per_day,VARCHAR(10),Number of trades per day,Questionnaire,No,,1-2/3-5/6-10/10+
trading_session,VARCHAR(20),Preferred trading session,Questionnaire,No,,asian/european/us/any
has_account,VARCHAR(3),Whether user has existing account,Questionnaire,No,,yes/no
account_equity,DECIMAL(15,2),Current account equity,Questionnaire,No,,If has_account = yes
prop_firm,VARCHAR(100),Selected prop firm,Questionnaire,No,,From questionnaire
account_type_questionnaire,VARCHAR(50),Account type from prop firm,Questionnaire,No,,From questionnaire
account_size,DECIMAL(15,2),Account size in USD,Questionnaire,No,,From questionnaire
risk_percentage,DECIMAL(5,2),Risk per trade percentage,Questionnaire,No,,0.5-2.5%
risk_reward_ratio,VARCHAR(10),Preferred risk:reward ratio,Questionnaire,No,,1/2/3/4
crypto_assets,TEXT[],Array of crypto symbols,Questionnaire,No,,['BTC','ETH',etc.]
forex_assets,TEXT[],Array of forex pairs,Questionnaire,No,,['EURUSD','GBPUSD',etc.]
account_screenshot,TEXT,Base64 encoded screenshot,Questionnaire,No,,Account verification
screenshot_url,VARCHAR(500),URL to stored screenshot,Questionnaire,No,,If stored externally
trading_experience,VARCHAR(50),User's trading experience,Questionnaire,No,,beginner/intermediate/advanced
risk_tolerance,VARCHAR(20),User's risk tolerance,Questionnaire,No,,conservative/moderate/aggressive
trading_goals,TEXT,User's trading goals,Questionnaire,No,,Free text description
plan_name,VARCHAR(20),Risk management plan name,Risk Management,No,,Conservative/Balanced/Aggressive/Custom
plan_description,TEXT,Risk management plan description,Risk Management,No,,Plan details
is_active,BOOLEAN,Whether plan is active,Risk Management,No,true,Plan status
version,VARCHAR(10),Plan version,Risk Management,No,1.0,Version control
max_risk_per_trade,DECIMAL(5,2),Maximum risk per trade,Risk Management,No,,0.1-5.0%
max_daily_loss,DECIMAL(5,2),Maximum daily loss,Risk Management,No,,1-10%
max_weekly_loss,DECIMAL(5,2),Maximum weekly loss,Risk Management,No,,5-20%
max_monthly_loss,DECIMAL(5,2),Maximum monthly loss,Risk Management,No,,10-30%
max_position_size,DECIMAL(5,2),Maximum position size,Risk Management,No,,1-20%
max_open_trades,INTEGER,Maximum open trades,Risk Management,No,,1-10
stop_loss_type,VARCHAR(30),Stop loss type,Risk Management,No,,Fixed Percentage/ATR-based/Support/Resistance/Manual
